participant_id,scenario,decision,confidence,familiarity
1,Wildfire,1,3,2
1,Hurricane,2,2,3
1,Chemical spill,1,1,1
1,Terrorist threat,2,2,2
1,Contagious disease outbreak,1,1,3
1,Flooding,2,3,1
1,Earthquake,1,2,2
1,Foodborne illness,2,2,3
2,Wildfire,2,2,2
2,Hurricane,1,3,1
2,Chemical spill,2,1,3
2,Terrorist threat,1,2,2
2,Contagious disease outbreak,2,1,2
2,Flooding,1,3,1
2,Earthquake,2,2,3
2,Foodborne illness,1,1,2
3,Wildfire,1,3,3
3,Hurricane,2,2,2
3,Chemical spill,1,1,1
3,Terrorist threat,2,2,3
3,Contagious disease outbreak,1,3,1
3,Flooding,2,1,2
3,Earthquake,1,2,2
3,Foodborne illness,2,3,1
4,Wildfire,2,1,2
4,Hurricane,1,2,3
4,Chemical spill,2,3,1
4,Terrorist threat,1,1,2
4,Contagious disease outbreak,2,2,3
4,Flooding,1,3,1
4,Earthquake,2,1,3
4,Foodborne illness,1,2,2
5,Wildfire,1,2,2
5,Hurricane,2,1,3
5,Chemical spill,1,3,1
5,Terrorist threat,2,2,2
5,Contagious disease outbreak,1,1,3
5,Flooding,2,3,1
5,Earthquake,1,2,2
5,Foodborne illness,2,2,3
6,Wildfire,2,3,2
6,Hurricane,1,2,3
6,Chemical spill,2,1,1
6,Terrorist threat,1,2,2
6,Contagious disease outbreak,2,3,1
6,Flooding,1,1,2
6,Earthquake,2,2,3
6,Foodborne illness,1,3,1
7,Wildfire,1,2,3
7,Hurricane,2,3,2
7,Chemical spill,1,1,1
7,Terrorist threat,2,2,2
7,Contagious disease outbreak,1,3,3
7,Flooding,2,1,1
7,Earthquake,1,2,2
7,Foodborne illness,2,2,3
8,Wildfire,2,1,2
8,Hurricane,1,3,3
8,Chemical spill,2,2,1
8,Terrorist threat,1,1,2
8,Contagious disease outbreak,2,3,3
8,Flooding,1,2,1
8,Earthquake,2,3,2
8,Foodborne illness,1,1,3
9,Wildfire,1,2,2
9,Hurricane,2,3,3
9,Chemical spill,1,1,1
9,Terrorist threat,2,2,2
9,Contagious disease outbreak,1,3,3
9,Flooding,2,1,2
9,Earthquake,1,2,1
9,Foodborne illness,2,3,2
10,Wildfire,2,1,3
10,Hurricane,1,3,1
10,Chemical spill,2,2,1
10,Terrorist threat,1,1,3
10,Contagious disease outbreak,2,3,2
10,Flooding,1,2,1
10,Earthquake,2,1,3
10,Foodborne illness,1,3,2
11,Wildfire,1,3,2
11,Hurricane,2,2,3
11,Chemical spill,1,1,1
11,Terrorist threat,2,2,2
11,Contagious disease outbreak,1,1,3
11,Flooding,2,3,1
11,Earthquake,1,2,2
11,Foodborne illness,2,2,3
12,Wildfire,2,2,2
12,Hurricane,1,3,1
12,Chemical spill,2,1,3
12,Terrorist threat,1,2,2
12,Contagious disease outbreak,2,1,2
12,Flooding,1,3,1
12,Earthquake,2,2,3
12,Foodborne illness,1,1,2
13,Wildfire,1,3,3
13,Hurricane,2,2,2
13,Chemical spill,1,1,1
13,Terrorist threat,2,2,3
13,Contagious disease outbreak,1,3,1
13,Flooding,2,1,2
13,Earthquake,1,2,2
13,Foodborne illness,2,3,1
14,Wildfire,2,1,2
14,Hurricane,1,2,3
14,Chemical spill,2,3,1
14,Terrorist threat,1,1,2
14,Contagious disease outbreak,2,2,3
14,Flooding,1,3,1
14,Earthquake,2,1,3
14,Foodborne illness,1,2,2
15,Wildfire,1,2,2
15,Hurricane,2,1,3
15,Chemical spill,1,3,1
15,Terrorist threat,2,2,2
15,Contagious disease outbreak,1,1,3
15,Flooding,2,3,1
15,Earthquake,1,2,2
15,Foodborne illness,2,2,3
16,Wildfire,2,3,2
16,Hurricane,1,2,3
16,Chemical spill,2,1,1
16,Terrorist threat,1,2,2
16,Contagious disease outbreak,2,3,1
16,Flooding,1,1,2
16,Earthquake,2,2,3
16,Foodborne illness,1,3,1
17,Wildfire,1,2,3
17,Hurricane,2,3,2
17,Chemical spill,1,1,1
17,Terrorist threat,2,2,2
17,Contagious disease outbreak,1,3,3
17,Flooding,2,1,1
17,Earthquake,1,2,2
17,Foodborne illness,2,2,3
18,Wildfire,2,1,2
18,Hurricane,1,3,3
18,Chemical spill,2,2,1
18,Terrorist threat,1,1,2
18,Contagious disease outbreak,2,3,3
18,Flooding,1,2,1
18,Earthquake,2,3,2
